frame_id,sh_x,sh_y,el_x,el_y,wr_x,wr_y
0,606,47,626,199,584,334
1,604,53,622,202,583,347
2,600,54,622,208,602,355
3,594,56,615,207,602,352
4,590,60,617,195,606,327
5,586,63,615,187,603,273
6,582,66,609,164,608,216
7,585,65,605,173,601,238
8,581,61,599,175,590,223
9,576,69,597,170,596,207
10,575,62,595,195,585,284
11,575,69,596,201,579,336
12,575,72,593,207,575,334
13,574,70,593,200,572,302
14,569,71,582,201,557,307
15,565,73,581,204,550,317
16,566,72,577,210,524,332
17,565,72,576,214,502,333
18,562,69,579,208,491,323
19,563,67,576,204,469,305
20,562,67,574,208,445,294
21,560,70,575,206,436,272
22,561,70,567,205,417,252
23,557,70,558,203,405,227
24,561,67,548,203,390,205
25,562,64,538,198,386,179
26,559,62,531,201,385,153
27,561,61,519,198,390,134
28,561,59,513,196,397,116
29,564,60,506,193,401,107
30,561,61,496,192,405,94
31,560,61,488,193,418,90
32,554,63,485,194,445,136
33,556,61,480,196,457,153
34,557,61,476,196,462,157
35,559,61,471,195,455,147
36,554,62,468,197,463,150
37,553,61,464,194,477,151
38,555,60,464,194,474,150
39,557,59,464,193,466,138
40,557,58,462,192,463,124
41,558,58,463,191,463,137
42,558,58,463,191,467,125
43,559,57,464,192,464,125
44,561,57,465,193,468,139
45,560,58,466,193,475,127
46,559,57,467,192,477,136
47,560,58,468,192,475,126
48,559,57,469,191,476,127
49,562,55,469,190,474,127
50,563,55,470,189,470,71
51,563,55,471,191,466,69
52,561,57,472,192,467,72
53,560,56,475,191,464,73
54,561,56,477,192,465,78
55,564,54,477,192,463,78
56,563,55,478,192,457,131
57,562,54,479,191,466,75
58,561,55,482,189,470,75
59,563,57,483,189,471,75
60,566,59,485,190,469,75
61,567,60,486,192,466,76
62,569,59,491,194,460,82
63,572,58,496,195,458,86
64,573,58,505,200,455,96
65,569,61,511,202,452,101
66,564,62,524,198,449,106
67,566,62,532,204,445,120
68,565,63,538,205,443,138
69,563,76,552,206,438,153
70,562,67,560,206,430,170
71,561,68,574,204,440,195
72,563,67,580,206,450,216
73,559,65,584,205,454,241
74,562,61,586,203,460,264
75,561,60,589,204,468,289
76,562,61,589,204,493,297
77,557,60,589,204,507,294
78,558,61,589,201,535,301
79,563,65,592,195,565,290
80,567,67,592,200,585,306
81,565,63,597,195,594,289
82,566,68,596,194,594,290
83,560,65,593,182,587,253
84,564,71,598,198,601,280
85,562,69,600,192,608,275
86,566,69,602,189,604,274
87,563,70,606,192,597,290
88,570,72,623,200,632,335
89,562,70,615,191,601,303
90,537,117,614,191,577,256
91,536,99,612,196,571,286
92,558,71,615,203,603,332
93,565,66,611,195,606,287
94,577,69,606,200,599,314
95,576,71,605,193,585,272
96,578,71,604,201,579,290
97,577,71,602,203,581,300
98,575,70,604,201,575,287
99,577,69,603,200,560,297
100,576,67,602,203,538,333
101,581,65,606,206,536,330
102,581,67,605,205,535,330
103,579,67,603,204,535,329
