frame_id,sh_x,sh_y,el_x,el_y,wr_x,wr_y
0,750,35,748,89,620,25
1,712,43,722,108,737,174
2,655,37,672,121,682,173
3,650,39,655,154,670,213
4,647,41,646,160,634,249
5,645,42,643,160,632,252
6,644,43,643,152,660,189
7,643,44,644,143,659,200
8,643,43,642,157,658,187
9,645,41,640,168,665,238
10,642,39,628,162,633,247
11,645,37,652,169,647,240
12,645,42,667,164,710,208
13,655,61,644,168,646,205
14,643,43,640,158,631,216
15,647,37,648,163,666,191
16,657,35,653,124,675,127
17,648,39,642,141,635,151
18,653,36,660,111,660,98
19,652,37,640,143,640,144
20,654,38,641,142,471,188
21,659,40,656,133,657,168
22,661,40,652,126,664,165
23,658,38,651,139,452,139
24,653,39,525,96,444,129
25,651,42,529,86,434,115
26,656,38,529,77,432,104
27,661,37,533,66,436,91
28,662,36,652,109,633,142
29,662,35,649,106,657,120
30,663,35,651,99,650,121
31,663,33,528,51,659,101
32,668,35,526,49,661,119
33,669,38,526,47,431,51
34,665,37,522,43,432,47
35,664,37,522,42,430,43
36,664,38,527,41,432,41
37,664,38,525,40,665,103
38,663,38,524,40,665,103
39,662,38,525,40,673,103
40,663,38,695,117,676,103
41,665,39,696,118,434,39
42,666,38,524,40,682,115
43,666,38,719,118,682,116
44,671,39,746,118,687,130
45,669,39,739,117,698,117
46,669,39,737,117,695,117
47,667,39,738,117,682,116
48,668,39,740,118,685,117
49,669,39,742,110,685,115
50,669,39,742,111,686,107
51,672,39,744,111,698,107
52,671,39,524,41,678,106
53,671,39,721,110,676,105
54,674,39,743,110,686,107
55,713,51,763,109,712,108
56,671,37,525,41,681,100
57,670,37,747,109,698,109
58,671,37,758,106,695,109
59,671,37,745,102,697,110
60,666,36,727,102,684,110
61,667,36,727,109,700,111
62,668,36,730,101,686,109
63,669,38,730,103,701,110
64,665,38,710,108,686,109
65,660,39,687,107,665,108
66,659,43,688,108,662,130
67,659,43,686,114,662,130
68,656,44,658,116,654,132
69,653,43,657,115,643,134
70,654,39,660,107,644,135
71,651,44,664,108,645,136
72,651,39,521,46,428,46
73,650,43,650,107,429,46
74,651,43,650,107,429,47
75,653,43,665,108,429,45
76,650,43,649,109,429,45
77,650,44,650,110,429,45
78,651,43,660,108,429,45
79,656,39,672,100,661,96
80,653,43,661,98,428,48
81,655,43,662,107,651,108
82,652,43,660,107,427,51
83,651,37,520,48,428,53
84,648,36,517,49,427,57
85,651,34,635,107,429,61
86,652,35,650,103,648,119
87,650,34,522,59,436,72
88,651,36,521,62,435,80
89,651,37,525,67,434,89
90,649,35,519,76,431,101
91,645,36,522,80,432,111
92,647,36,520,89,438,123
93,650,38,625,120,444,137
94,650,38,637,127,448,140
95,655,41,643,116,649,167
96,652,40,641,139,463,167
97,652,38,642,141,470,180
98,649,38,629,141,608,169
99,641,39,590,139,494,194
100,641,38,568,126,563,145
101,646,39,609,146,601,200
102,647,41,622,149,615,199
103,642,38,620,157,628,170
104,645,41,636,159,670,171
105,645,41,632,156,654,187
106,642,40,628,164,629,218
107,643,36,645,174,633,235
108,640,37,644,166,633,235
109,639,37,629,157,647,222
110,636,38,629,156,605,246
111,640,31,658,88,648,105
112,641,29,659,77,658,94
113,639,30,660,78,661,84
114,647,37,666,117,680,165
115,635,32,679,152,661,235
116,636,32,638,158,637,247
117,639,34,641,151,647,247
118,640,37,642,132,652,164
119,638,34,641,139,650,156
120,638,33,647,191,625,253
121,638,34,639,151,635,252
122,641,35,673,195,635,252
123,640,34,638,146,637,251
124,644,37,636,142,635,247
125,641,36,634,146,634,248
126,640,33,636,146,634,250
127,640,34,635,153,632,248
128,637,33,640,153,630,250
129,633,34,641,152,621,250
130,635,34,642,146,642,247
131,636,37,645,149,639,247
132,634,29,652,135,646,248
133,634,28,655,120,663,161
134,638,30,662,127,668,182
135,645,34,677,128,683,197
136,641,31,687,128,706,215
137,636,34,691,128,711,235
138,641,34,703,145,727,223
139,635,31,704,112,737,228
140,635,32,705,173,755,224
141,684,87,720,109,764,202
142,681,78,725,105,779,193
143,643,33,727,95,792,179
144,655,46,741,99,801,166
145,647,38,742,92,816,156
146,644,34,751,87,824,148
147,641,30,620,162,835,136
148,642,36,744,70,851,129
149,645,34,750,64,853,118
150,647,31,754,62,869,109
151,645,31,754,58,876,96
152,643,30,762,56,884,89
153,644,32,764,54,878,79
154,644,30,766,52,880,75
155,643,31,765,53,881,71
156,641,30,765,53,881,71
